region,parent_region,subset,amplitude values,amplitude stderr,decay values,decay stderr
#Worldwide,#Global,confirmed,1111461.8306596964,44370.93402826213,-72.62302697081458,0.9227391137534109
#Worldwide,#Global,recovered,429270.9889326032,20340.23099436141,-62.21228850861332,0.7887383456536801
#Worldwide,#Global,deaths,83551.81177090787,3929.7295473138506,-97.47592853153036,2.0431415823371464
Afghanistan,#Global,confirmed,6339.691080048877,525.5467809748919,-107.9581798862853,5.25785074046208
Afghanistan,#Global,recovered,2325.046711393169,235.67286105253834,-77.9964696963547,3.18319613410938
Afghanistan,#Global,deaths,152.78078068710198,13.000216500488593,-89.61715677918029,3.6045985558891105
Albanien,#Global,confirmed,424.726575182764,17.55729944736664,-58.24098219680217,0.7470414580418335
Albanien,#Global,recovered,219.8966837015264,6.496111771719819,-56.45593330408464,0.49964881681072987
Albanien,#Global,deaths,13.246913693279634,0.7237227996226797,-59.650743107005354,1.0388934065894804
Algerien,#Global,confirmed,3038.007370856891,177.83312960124567,-74.12234195048518,1.6560675011958392
Algerien,#Global,recovered,1950.2094668102077,125.72427513901812,-71.81057165590315,1.704025006442455
Algerien,#Global,deaths,242.24082546521547,9.755908123636077,-105.600634149137,2.447221574269369
Andorra,#Global,confirmed,302.5841323794535,15.704269867189254,-119.47419767995973,4.256109386838925
Andorra,#Global,recovered,230.67355829322457,13.265708423004645,-119.94498801276985,4.757255565369455
Andorra,#Global,deaths,25.411418310823016,1.3116209127105398,-233.32030287350273,18.100153354915566
Angola,#Global,confirmed,42.26892105108297,2.1697002936220153,-40.573565272276745,0.4584041233353523
Angola,#Global,recovered,10.127856168323031,0.911835269042921,-36.46557378226822,0.6430523171736009
Angola,#Global,deaths,2.659073910851895,0.1698281544224164,-45.58110124246343,0.7285083866431877
Antigua und Barbuda,#Global,confirmed,17.98457847528394,1.0124331814958676,-107.23127805134907,3.8742582930697895
Antigua und Barbuda,#Global,recovered,9.740672765925542,0.7002019342615801,-83.12387531091315,2.8471226154616787
Antigua und Barbuda,#Global,deaths,1.8207063560713899,0.09411253993423366,-310.66079217401557,35.43952407970234
Argentinien,#Global,confirmed,5702.401643632337,289.89634410666326,-43.19622499089392,0.47416367155756356
Argentinien,#Global,recovered,2132.7462964598026,176.3649058600077,-37.4524880187556,0.5724521697444888
Argentinien,#Global,deaths,63.06007996529533,2.5251673398321035,-37.402961545574385,0.2764256090638105
Armenien,#Global,confirmed,4945.511259938193,359.7686834074368,-86.6300989296546,2.9539217230858417
Armenien,#Global,recovered,2580.2989904573965,214.0516397255913,-71.68836567039806,2.240889710770752
Armenien,#Global,deaths,86.0251221788514,6.8158814193871065,-82.84761708432998,2.921635015845405
Aserbaidschan,#Global,confirmed,3519.967149706763,280.98144021039127,-82.9714647315359,2.9226338793571784
Aserbaidschan,#Global,recovered,2173.1584267124226,192.52702087513254,-71.57234436365023,2.360661066271056
Aserbaidschan,#Global,deaths,44.256692657693925,3.6719958499814034,-78.36358860920734,2.6859382130096394
Australien,#Global,confirmed,1812.6913928334545,107.85609423199489,-88.09276924359372,2.106391603602215
Australien,#Global,recovered,1003.8198900134817,59.84791226079047,-76.13396019451937,1.5440436382662042
Australien,#Global,deaths,7.616344959614405,0.7755238470829184,-51.754853172666394,1.1650516889851625
Bahamas,#Global,confirmed,17.574666356001075,1.647334069111379,-36.26535026291291,0.6480062409376502
Bahamas,#Global,recovered,1.1745379695652174,0.18575577400934237,-26.40625723084095,0.5661850272841398
Bahamas,#Global,deaths,0.6638113359948339,0.07945275795798622,-40.330994909409334,1.0333715681593696
Bahrain,#Global,confirmed,4158.193338613987,224.62838160467055,-75.69825639439887,1.5908773972994066
Bahrain,#Global,recovered,3132.2532897251767,205.2658461171836,-70.74611513030894,1.6692866107152098
Bahrain,#Global,deaths,12.342152832762176,0.8560805197765217,-71.06868270907395,1.784113851592268
Bangladesch,#Global,confirmed,28399.65902185661,1982.75899281327,-77.12003455506964,2.289085316694271
Bangladesch,#Global,recovered,10034.09501562913,718.3144860081345,-60.81184279354469,1.4108735944205004
Bangladesch,#Global,deaths,349.98793750840093,21.56474831078811,-73.47722911340361,1.820466424584951
Barbados,#Global,confirmed,48.56865973579482,1.2019907461276076,-139.74587283549747,3.1006791982089568
Barbados,#Global,recovered,28.178601587716056,1.117598110081096,-104.63392563324089,2.6467330874587516
Barbados,#Global,deaths,4.278343555092585,0.20042471945198478,-309.5332824567486,32.5677847251369
Belarus,#Global,confirmed,15554.765414878664,1030.7732936935781,-120.94372642404517,5.492535372718762
Belarus,#Global,recovered,8969.70944766659,708.8319074445805,-93.71724254704273,3.764367308721481
Belarus,#Global,deaths,82.46122708366785,4.208896506960291,-89.41082366065785,2.1960892719904144
Belgien,#Global,confirmed,15944.95261780284,810.9019963481857,-119.80740866406963,3.665288393477838
Belgien,#Global,recovered,5098.506538556763,322.2762376693742,-158.23450888048052,8.348332545037369
Belgien,#Global,deaths,3167.007021621368,217.93917057880174,-175.07720490957934,11.322935381935109
Belize,#Global,confirmed,5.063763635499829,0.7194614746899686,-31.931399121453044,0.7823383211591269
Belize,#Global,recovered,0.0875991110062039,0.020922218743516668,-20.202813024372524,0.5111042747398585
Belize,#Global,deaths,0.07244292284705552,0.010109427756246372,-32.339915810050904,0.7887867762213547
Benin,#Global,confirmed,255.3562094175537,20.17094706680145,-83.40801379807503,3.204736250805424
Benin,#Global,recovered,108.85453619307161,10.97729673746989,-65.2475298990549,2.4115719129661515
Benin,#Global,deaths,4.633429819401602,0.43774755923398173,-83.83293425078487,3.8754859268555237
