region,parent_region,subset,amplitude values,amplitude stderr,center values,center stderr,sigma values,sigma stderr
#Worldwide,#Global,confirmed,48675346.41412494,577616.0429210376,217.39164070788684,1.1518073810934788,43.43722502144172,0.40251183784326383
#Worldwide,#Global,recovered,33775597.03020798,254893.13784691386,222.29915091612358,0.6280867899450161,36.89290157851051,0.22421177368195613
#Worldwide,#Global,deaths,1138430.7259959322,18856.234141152083,170.5212448829146,1.95986195203658,44.25048491014628,1.0382622456134603
Afghanistan,#Global,confirmed,38234.011567069174,70.07362935279525,103.4247380558694,0.16557594389558836,14.273848484063475,0.14200211906399934
Afghanistan,#Global,recovered,30808.599440854152,189.45998335580512,130.64915175072585,0.46727049211479454,13.898736222669465,0.39619186470756884
Afghanistan,#Global,deaths,1457.9841180132955,2.7464984669095993,124.21583140955356,0.1616015588384735,18.040964496641838,0.13439881413525942
Albanien,#Global,confirmed,20815.437242505064,193.08651430404007,181.51088294514284,0.7186674226640801,35.14456578866946,0.24285405984647154
Albanien,#Global,recovered,19012.28881845373,818.4093462062735,217.36883289222126,3.295356348800886,42.73033009286762,0.6539981360738322
Albanien,#Global,deaths,506.13742486031384,8.900175886955692,167.99956078456478,1.3161821383736296,30.501973773025682,0.5726007510920619
Algerien,#Global,confirmed,59793.77650947108,578.2528097290383,156.9902116137298,0.841269969499957,31.43847022316972,0.4679207077729649
Algerien,#Global,recovered,40817.316287386224,242.48332070820803,155.63045842100613,0.4948399779067535,28.907524033242893,0.29403197636138906
Algerien,#Global,deaths,1939.2295976414016,32.15300038430822,130.8529247426792,1.9880776205085258,44.222328937241834,1.1340448301931814
Andorra,#Global,confirmed,28908035.405814636,24866791722.039715,1341.8511709902077,101019.8371390583,116.7609141589027,5.670805622322534
Andorra,#Global,recovered,1265.9592047412552,57.99944483454793,102.52592610362072,5.895215810666746,45.00812054906712,4.074041222652916
Andorra,#Global,deaths,52.10809556778039,0.13591774566169038,41.48250442188818,0.24617957477079644,9.218406701119312,0.2153752580922132
Angola,#Global,confirmed,10293.481668798104,392.0734688510276,195.70398843055895,2.1329579288243896,29.043017937516538,0.5136412721221285
Angola,#Global,recovered,10829.159796870725,3789.103765614208,240.83769722629128,16.261732287037507,32.50415338427243,1.5926078611835777
Angola,#Global,deaths,279.24160397505676,8.580962897970753,176.43244403947602,1.900361173660219,27.835945897106694,0.653518366660009
