region,parent_region,subset,amplitude values,amplitude stderr,center values,center stderr,sigma values,sigma stderr
,#Global,confirmed,41779981.01011828,679341.5999035679,204.57407767049682,1.4070115647261108,40.42597395749515,0.44231014564550825
,#Global,recovered,29173048.714777224,291228.3421064803,211.88126593430385,0.7258729557266185,34.456512075411375,0.21992890679737265
,#Global,deaths,985934.9373175136,18611.7436314314,155.88355955822897,1.9765819719226845,39.07563274131109,1.0479331878703495
Afghanistan,#Global,confirmed,37703.05977338602,62.804557442164224,102.8124135284767,0.12874994507186754,13.787060466070988,0.10943276215001686
Afghanistan,#Global,recovered,28747.006391660034,159.896877614847,127.714507643318,0.3337368955900007,11.3993166293503,0.2817925094998577
Afghanistan,#Global,deaths,1451.8666145340844,3.985393739750625,124.0006558280346,0.1945820498068067,17.892552169588548,0.15352774188718554
Albania,#Global,confirmed,21015.754255583484,518.9353913867669,182.08789462861628,1.6554259094184525,35.232013820827326,0.3857084646741433
Albania,#Global,recovered,45244.047713361506,10867.876049818575,269.70874201283243,14.439601712087276,46.489854665618175,0.9160992356238121
Albania,#Global,deaths,629.4067375870892,40.0351043260996,181.72687050295383,4.108549708548177,33.79852928114311,0.9677070691003744
Algeria,#Global,confirmed,66690.46006161318,1517.2685944561788,164.88682260504098,1.7573926752023519,33.93371024752418,0.6427032741723834
Algeria,#Global,recovered,43728.00789513213,562.9696337021978,160.34345879265862,0.9400046199097216,30.509572081162762,0.3864042498884045
Algeria,#Global,deaths,1771.371783744653,39.73707757528275,121.51793285381159,2.4023476628297877,40.720623143878605,1.2867576216301386
Andorra,#Global,confirmed,963.1029692898011,13.579718587595565,40.09501139327208,1.5640596637778459,17.295220169230138,1.4616011844467187
Andorra,#Global,recovered,840.8398981285914,4.7847171760437135,61.89061983352264,0.5280546188478958,13.491481813417256,0.4563337099452504
Andorra,#Global,deaths,51.876862712027474,0.15214600420943533,41.33769663859583,0.2532161201454448,9.106423256076278,0.2211327682696931
Angola,#Global,confirmed,4451.115877012324,66.15329220792253,155.58074464158727,0.6985261936130229,20.548837085712897,0.25766959662772426
Angola,#Global,recovered,1683.0175562053662,62.695034467997466,154.66802212913834,1.5284632753185203,17.006396577516803,0.6391148027991205
Angola,#Global,deaths,154.93744808844195,2.038021786708876,146.0883599950657,0.6295809040638002,18.774042758607887,0.29746132352186866
Antigua and Barbuda,#Global,confirmed,113.01683618859079,4.234789638679635,108.71704217431045,3.4844199258760487,33.605369406650226,2.019839956172648
Antigua and Barbuda,#Global,recovered,114.63732833627664,4.6932251694394616,132.17936232118765,3.113390200164897,29.56051556588205,1.509284616802064
Antigua and Barbuda,#Global,deaths,2.997350684364917,0.011833923039248555,27.65370026629857,0.18735742996833973,2.4437838431976453,0.16452430281307254
Argentina,#Global,confirmed,961287.922871111,16471.241493702913,188.03182534851052,0.8566327750436705,25.7955045796128,0.20909900065261214
Argentina,#Global,recovered,586433.777726649,18659.62194725436,179.0764048656989,1.2358073169217951,17.530644717377783,0.4220087165576121
Argentina,#Global,deaths,27197.02112184958,856.5125714585641,203.10541971169712,1.5034903342224963,27.81613632493428,0.264626137883942
Armenia,#Global,confirmed,45123.78033562461,97.83369996215521,116.47610603584148,0.1594957553108894,19.270835769101197,0.12375940978141467
Armenia,#Global,recovered,42147.97842725677,195.81883895482372,136.5281958040008,0.29133432231813244,19.57171366027332,0.19837411449253395
Armenia,#Global,deaths,915.7286071011464,2.818004360593958,123.22038503787351,0.21479970526030331,19.397694831063113,0.16114728305221693
Azerbaijan,#Global,confirmed,38251.49883746501,108.5540544053796,125.72830538154244,0.19453922260407716,18.690309300023973,0.14766044355816216
Azerbaijan,#Global,recovered,37542.576091260715,212.6692148968848,140.72103550856377,0.3379730478148211,18.33877339879036,0.2337372750149376
Azerbaijan,#Global,deaths,574.4131095340092,1.840629131038045,132.1207690578382,0.20891601652292974,18.904746074123626,0.15206997309697318
Australia,#Global,confirmed,152948.83578041234,93394.73942779373,325.338681204166,54.08008978670619,64.9218979319719,4.3822463770408095
Australia,#Global,recovered,277005964.06606424,177143736213.7547,845.2156519015649,42091.18630400808,65.48423595718498,2.1797736236872542
Australia,#Global,deaths,12083480.857314713,6383407407.2748,584.4134311912478,19430.34024060413,36.84398556038305,0.9588292750377004
Bahamas,#Global,confirmed,3657.6345277251507,91.381517503585,162.64275247214385,0.8482891124448285,14.00011700494542,0.3589294893813099
Bahamas,#Global,recovered,1783.398739615982,148.8121378771984,172.5018544098625,1.6636114874733696,8.516529005469271,0.6483797749693594
Bahamas,#Global,deaths,1094988.4143996907,1176847330.1081116,537.6725040647425,39076.8394161812,36.43562938679224,2.0031110778928967
Bahrain,#Global,confirmed,60116.11223480834,556.6291926061458,135.83231696592478,0.7236276995027251,27.04749292677689,0.4323754325246823
Bahrain,#Global,recovered,53651.66618068575,327.6441987882617,138.25050347577093,0.4220761977125344,22.25351641667665,0.27763935024618325
Bahrain,#Global,deaths,209.2452918050011,1.643646543130081,138.36644923062417,0.5270218413700842,20.99985077008653,0.35782890112749943
Bangladesh,#Global,confirmed,343227.5736848543,2628.908739224193,124.05811363605585,0.5433885999863256,23.030765310107807,0.35431437965017504
Bangladesh,#Global,recovered,259330.6297974936,5329.3401686281795,144.06896163676473,1.280544261389548,23.475762314362864,0.6573753953909051
Bangladesh,#Global,deaths,5019.445636277468,48.863539803140974,131.0881661251849,0.706162070343075,26.008335244453413,0.3981787497298185
Barbados,#Global,confirmed,238456.16394167359,86782346.30040897,1137.9849666202094,48923.308594598464,133.366777855293,22.935110645723725
Barbados,#Global,recovered,162.21821001381642,8.37354787456078,97.78408324425017,5.759448250341138,43.490416979134295,3.2443695021844525
Barbados,#Global,deaths,6.9812587469140395,0.025375203634279385,26.24559982615916,0.24710639377630186,5.321654645128634,0.21655398523233785
Belarus,#Global,confirmed,70196.4471895945,226.35497170941815,86.07854555207457,0.2871068847969048,16.766684256800506,0.2430403916392343
Belarus,#Global,recovered,70632.52352028403,236.87372664360856,112.54384029157019,0.25329029956390703,18.039318119138557,0.20406435408662524
Belarus,#Global,deaths,753.2142826324272,7.532911180651027,120.36814497888969,0.8784187902334721,29.649250597655243,0.5501298621332626
Belgium,#Global,confirmed,72952.42023483978,885.8408737829808,80.88766020152909,1.3430919712687501,20.437724108888432,1.1487428867943104
Belgium,#Global,recovered,17491.68186813814,65.74729835738097,78.32604604213273,0.3633788584850574,13.256347213482528,0.3139123221152045
Belgium,#Global,deaths,9735.299640874393,20.396773930475085,73.91831619863288,0.17435091242808168,8.769535308551037,0.1517821308766497
Belize,#Global,confirmed,1663.0366416406507,30.23233985523233,157.3478457675029,0.4491130249707436,9.220650120152124,0.2346742309807377
Belize,#Global,recovered,950.673861756983,166.066580506273,175.09728729457996,2.7003615619599635,8.250109173720059,0.6030107063916226
Belize,#Global,deaths,115631.1141690576,147652885.45467457,368.68631925418464,28952.735997880976,22.402267573192603,2.6335678582085804
Benin,#Global,confirmed,2256.393703566757,20.49407510378504,109.99589973853705,0.611526754217405,18.333183887376265,0.4646909675446821
Benin,#Global,recovered,1963.63912241298,30.80494301371285,131.75948398335592,0.7982530888512624,15.36952001175422,0.5613215301806346
Benin,#Global,deaths,40.48934092848592,0.204180136430808,109.92498653365381,0.3101698942721229,13.779559810505836,0.25445149985503324
Bhutan,#Global,confirmed,5284.168445837226,11985.583507466445,346.1934316294027,130.25069287973906,51.545590099350306,2.8411947297069235
Bhutan,#Global,recovered,179.29487848464714,5.646613863384213,148.3008058491971,2.0903061252652613,26.30927821844537,0.9664804817555585
Bolivia,#Global,confirmed,138556.28328826142,450.1511037617019,137.6473844951218,0.19779785148068715,21.77690656076517,0.11171499463119183
Bolivia,#Global,recovered,332476.5807894726,46928.20769645326,218.06922002218369,5.948453878572693,28.95022822020485,0.6237042789080808
Bolivia,#Global,deaths,13696.788019146805,1146.7051827737873,185.26719676142397,4.751976303337994,30.698066430907318,1.0252073554315917
Bosnia and Herzegovina,#Global,confirmed,37652.593590472,1353.8578096473386,175.1538594842852,2.3627055968061192,32.014996350343516,0.6680986436720228
Bosnia and Herzegovina,#Global,recovered,43632.310014702816,5305.060338970555,208.1707497905861,6.760774889177303,33.60315781002823,1.071641584336584
Bosnia and Herzegovina,#Global,deaths,4136.245296601476,1547.256741478757,273.5649020988496,26.387111804744848,52.71531584595797,1.9744950159560384
Botswana,#Global,confirmed,3771.3255166712206,201.5162977489649,157.32636223988138,2.5154731746785703,23.329877266337643,0.6808052666883324
Botswana,#Global,recovered,1413.6170860434825,378.476115134612,172.1019782631169,6.619377178876441,14.233806227815867,1.2041054243984908
Botswana,#Global,deaths,144518.84559380898,179104631.92633408,397.4590227462953,29805.313960096933,24.041488780654372,1.354511308292058
Brazil,#Global,confirmed,4908173.244567497,40020.74506721004,152.05353111546523,0.5591683517717726,26.272712315516976,0.27768359135349224
Brazil,#Global,recovered,4351615.3172021005,37237.370535512615,160.83776430718802,0.5167030977658542,23.803544306630677,0.2415669971794171
Brazil,#Global,deaths,138716.92067161712,1337.917647649662,135.40126021472472,0.7560155540349008,27.621960881942865,0.4391757175333885
Brunei,#Global,confirmed,140.88298040214042,0.25781073027125795,10.39715640756098,0.1249050323165987,4.487280642490008,0.11668988964206348
Brunei,#Global,recovered,136.6656499684961,0.39929033262308783,27.40825273601704,0.21634917934805065,6.096978028976237,0.1897786036122308
Brunei,#Global,deaths,3.182005208814534,0.05461047760750767,71.84882168879999,1.7436657586228514,25.259344747061004,1.4684202068149812
Bulgaria,#Global,confirmed,22252.949717527958,394.48919533031756,145.97237124707942,1.2687657755484552,29.144136339239942,0.5536938639238105
Bulgaria,#Global,recovered,17463.79370128854,295.09481767913053,160.46217929010245,1.0159211905085759,26.18170763753933,0.37845524002666064
Bulgaria,#Global,deaths,1584.7919107468254,90.54130203516227,197.14489153177536,4.616670543964728,45.78451616446845,0.8820629075797202
Burkina Faso,#Global,confirmed,1466.9517233971765,43.158430887869784,74.33896129615032,3.5417330628391777,44.081622046875594,2.7235128359563427
Burkina Faso,#Global,recovered,996.9167068534044,9.899656827242069,60.235759314879125,1.028614019512829,21.763323558830372,0.9060393945012004
Burkina Faso,#Global,deaths,53.60653122195388,0.12710430481804186,33.90376912134853,0.21428873034978466,10.206294367510573,0.1900231741634149
Burundi,#Global,confirmed,475.46803125824255,3.8297284286542896,100.85023821036785,0.5095592581711051,17.828984528546968,0.3789677346199807
Burundi,#Global,recovered,375.70814121130616,3.830960566880131,105.04251597300436,0.5971297200816644,16.147431912768052,0.4501808848785331
Burundi,#Global,deaths,1.0000000000002192,,12.500081991012951,,0.020744132651606555,
Chile,#Global,confirmed,408130.22931349545,2205.0237642277757,108.07320077132296,0.4065322263297148,17.595762840792453,0.3297301552882593
Chile,#Global,recovered,377513.3378741746,2729.723874035563,112.4619753136408,0.5038411364858211,15.299038473450114,0.4153185217326345
Chile,#Global,deaths,11580.813912996553,61.757441991409614,121.96664229379788,0.3557311150324341,17.399823195205382,0.27651625854616857
China,#Global,confirmed,83110.6184618141,113.59160691465942,18.144101882325657,0.10610369641328957,4.8035140588631675,0.09389227263117164
China,#Global,recovered,78525.70427188327,79.23697449391024,38.62268339103154,0.09243209116590136,7.672606904705818,0.08091720674490624
China,#Global,deaths,4630.179988711475,28.235537390820504,38.99581613939716,0.8285675833350512,19.867328777715034,0.8078616514879949
Costa Rica,#Global,confirmed,87622.92703229115,2178.819321505362,179.6538983188505,1.1423090127225166,22.31325445439006,0.32524153810742706
Costa Rica,#Global,recovered,40596.108420252516,2048.7251916220357,188.5572179544397,2.0378500591373925,21.26272859964665,0.4718104198037519
Costa Rica,#Global,deaths,740.3519037207594,16.515215188488913,170.7344815335486,0.8623949677582509,16.172756679327787,0.3529713964542091
Democratic Republic of the Congo,#Global,confirmed,10098.621407955163,30.314047294054426,97.36433693416753,0.2338073389355036,18.41677914933465,0.1891881866316172
Democratic Republic of the Congo,#Global,recovered,9779.65834809974,61.66171864948845,131.1853616409892,0.3243902171211109,13.49684866777284,0.2514243989376755
Democratic Republic of the Congo,#Global,deaths,271.045016040246,1.9596443750364607,104.06982075827615,0.6073117514526079,25.881085956093546,0.4244547052747004
Germany,#Global,confirmed,212081.94054333292,1826.7704487754456,76.21516807349516,0.9157279425104526,15.291601671725495,0.790535468797975
Germany,#Global,recovered,195933.59160950265,1385.0743788131529,89.8272041633633,0.7122784006686861,15.491745182121019,0.612081922961843
Germany,#Global,deaths,9046.361864778233,21.706561681714373,84.38531893768108,0.2137065489918721,10.55195509536026,0.18547898880479036
Dominica,#Global,confirmed,18.025243887511724,0.15550643989125712,6.2527463138492205,0.8549261296399788,7.4964504313815175,0.9269226734832104
Dominica,#Global,recovered,17.546912900344573,0.0981850845805325,30.87729667715479,0.47517891419871994,9.552413227842257,0.422493086036941
Dominican Republic,#Global,confirmed,123194.97151655838,1384.3948288857987,146.8453207168889,0.821625122967525,28.53775066095279,0.3931156407157152
Dominican Republic,#Global,recovered,133352.4079470509,5677.826807588727,183.64674896352952,2.765560326218081,32.63294544345534,0.7233714170106429
Dominican Republic,#Global,deaths,3513.831440453498,201.28908232783246,185.66026478961845,5.432356705341449,49.43751787692421,1.3057105757344625
Djibouti,#Global,confirmed,5292.331345908809,28.62893964576406,67.70774765911125,0.4581356857197247,14.459232390028017,0.39200491156060907
Djibouti,#Global,recovered,5273.7644389494735,27.02757841059984,84.34339885258387,0.3871758501324993,14.193615647789915,0.3274673922356638
Djibouti,#Global,deaths,59.198833632226886,0.16004369521577208,80.4412701059515,0.18929246967132868,10.39429274250727,0.1628875061459946
