date,region,parent_region,confirmed,recovered,deaths,still_infectious
2020-01-22,China,#Global,1632.0015869491522,417.4819302496609,236.77268616180575,977.7469705376857
2020-01-22,Japan,#Global,0.5221614962589773,7.0073611596369565,0.2184129115453104,-6.703612574923287
2020-01-22,South Korea,#Global,4.715671493296757,0.3428981688874996,0.6388641302642895,3.7339091941449682
2020-01-22,Taiwan,#Global,0.04063589813242871,0.04810373574441739,0.004702066483235111,-0.012169904095223793
2020-01-22,Thailand,#Global,0.016368906370771243,0.027036419981503915,2.593625489600619e-05,-0.01069344986562868
2020-01-22,USA,#Global,25.653154139491267,0.4790699356870638,0.08078379246181136,25.09330041134239
2020-01-22,Anhui,China,22.36382649078717,0.9324770464799436,2.3015994405919466e-07,21.43134921414729
2020-01-22,Chongqing,China,35.659283446140606,3.627540066743826,0.08106029716833482,31.950683082228448
2020-01-22,Fujian,China,29.07945021766557,1.7283367421873046,0.0,27.351113475478268
2020-01-22,Guangdong,China,81.64687400709842,21.012051943314095,0.016792995364040206,60.618029068420284
2020-01-22,Guangxi,China,16.108884458020995,0.8795079469977466,2.6769275829278683e-06,15.229373834095664
2020-01-22,Guizhou,China,1.5817195791561545,0.79329648808677,0.028532087697218187,0.7598910033721663
2020-01-22,Hainan,China,8.457091397993398,0.3157360155880794,0.33887520494336154,7.802480177461955
2020-01-22,Hebei,China,10.974253332756591,0.5264591711711826,0.08555412133102988,10.362240040254378
2020-01-22,Henan,China,34.662504690873305,2.7359546639612904,0.09617692651877773,31.83037310039324
2020-01-22,Hubei (Wuhan),China,841.0666503835391,228.16266153572246,243.18886711519932,369.7151217326173
2020-01-22,Hunan,China,32.979642701383185,8.690641760370728,0.000743162960601341,24.288257778051854
2020-01-22,Jiangsu,China,20.349776396222886,2.9268433897869532,,17.42293300643593
2020-01-22,Jiangxi,China,19.23721563836529,1.0966825731150984,0.0,18.140533065250192
2020-01-22,Liaoning,China,12.067319938174455,1.7613251983071831,0.12591995770006392,10.180074782167207
2020-01-22,Macao,China,1.3209642893393048,1.4323618117936427,,-0.11139752245433797
2020-01-22,Ningxia,China,3.622955536754456,0.4161455502095296,,3.2068099865449264
2020-01-22,Beijing,China,120.85011886845085,19.069463079466512,0.22289682894652432,101.5577589600378
2020-01-22,Shandong,China,52.31119774467272,4.8584757874779765,0.02713829682975964,47.42558366036498
2020-01-22,Shanghai,China,147.04718025419692,48.09884962637764,0.5522042873433367,98.39612634047592
2020-01-22,Shanxi,China,10.59264027719412,1.2082920025526176,,9.384348274641502
2020-01-22,Sichuan,China,35.545559940329326,6.343050416345602,0.09005848867320286,29.11245103531052
2020-01-22,Tianjin,China,32.44613675601532,2.0932743885143124,0.0008169052241768662,30.352045462276827
2020-01-22,Yunnan,China,12.649129653774702,0.1450219778042862,0.0,12.504107675970413
2020-01-22,Zhejiang,China,51.03716939710078,13.08221067789726,0.0,37.95495871920353
2020-01-22,Washington,USA,0.5646623511114007,0.0,0.1255308743110496,0.4391314768003512
2020-01-23,China,#Global,2018.9786813987607,478.182874068424,258.58355697311254,1282.2122503572243
2020-01-23,Japan,#Global,0.5902859134318599,7.424059271371892,0.2366709093046813,-7.070444267244714
2020-01-23,Singapore,#Global,0.003489092849804921,2.8678038341236185,0.0006723487696373753,-2.8649870900434515
2020-01-23,South Korea,#Global,5.643153001805593,0.3999933754514787,0.7021555727995578,4.541004053554556
2020-01-23,Taiwan,#Global,0.047134656632575135,0.05307224206290859,0.005248120545092529,-0.011185705975425972
2020-01-23,Thailand,#Global,0.019564239692896456,0.031058990929472882,3.140549949665481e-05,-0.01152615673607308
2020-01-23,USA,#Global,29.24041233706859,0.5516938021979575,0.09470738607072107,28.594011148799915
2020-01-23,Vietnam,#Global,0.02795990966563665,0.0034508634073707693,,0.024509046258265887
2020-01-23,Anhui,China,29.45600091049901,1.1820633485934873,5.520356037976197e-07,28.273937009869922
2020-01-23,Chongqing,China,44.59944366489193,4.301680959096292,0.1012938569273678,40.19646884886826
2020-01-23,Fujian,China,34.542970346515474,2.039759748734701,0.0,32.50321059778077
2020-01-23,Gansu,China,25.18276856868627,8.940092220871007,0.0,16.242676347815262
2020-01-23,Guangdong,China,100.49180116534626,23.935460297959693,0.02099165899365612,76.53534920839293
2020-01-23,Guangxi,China,19.758925751443677,1.0438786427116402,5.354979940693845e-06,18.715041753752093
2020-01-23,Guizhou,China,2.135153261038693,0.9458722221819744,0.03512300497917021,1.1541580338775486
2020-01-23,Hainan,China,10.559177225279752,0.3935204776940964,0.38385358743999054,9.781803160145667
2020-01-23,Hebei,China,13.587372711605045,0.6618278507417151,0.10287083893966473,12.822674021923664
2020-01-23,Heilongjiang,China,205.70210621100856,1.8925245286278405,0.162489209963227,203.64709247241746
2020-01-23,Henan,China,45.52352628536281,3.4039172981224,0.12207574655783902,41.99753324068257
2020-01-23,Hong Kong,China,0.060095028063122786,0.4920114699637042,0.1667718940973922,-0.5986883359979736
2020-01-23,Hubei (Wuhan),China,1059.2965964505293,262.70369971431325,264.67817110390723,531.9147256323088
2020-01-23,Hunan,China,43.40009922374121,10.371314079132745,0.001094590551253044,33.02769055405721
2020-01-23,Jiangsu,China,25.908427541989745,3.527920689421075,,22.380506852568676
2020-01-23,Jiangxi,China,25.659798831593626,1.3793135028949963,0.0,24.280485328698635
2020-01-23,Jilin,China,2.0474897940822268,0.6421762256150153,0.0,1.405313568467212
2020-01-23,Liaoning,China,14.464605380951207,2.013500324885741,0.1340356663130517,12.317069389752413
2020-01-23,Macao,China,1.399386473890324,1.4770302285576231,,-0.07764375466729923
