region,parent_region,subset,amplitude values,amplitude stderr,decay values,decay stderr
#Worldwide,#Global,confirmed,1509096.289064642,52431.938318788525,-81.90730484760027,0.9072615769694169
#Worldwide,#Global,deaths,105640.02851906347,4378.589753591729,-113.00414382829804,2.1585825744589897
#Worldwide,#Global,recovered,753849.5031239046,36578.24426980243,-75.16303146446856,1.0554732188166516
Afghanistan,#Global,confirmed,5840.39562868727,464.87458772059813,-131.33748704727503,5.740276662712788
Afghanistan,#Global,deaths,153.75685071822537,12.66714666508401,-113.61764380201546,4.340980579179386
Afghanistan,#Global,recovered,2548.905280835482,238.92961651758753,-101.71692492699098,3.8913858654388545
Albania,#Global,confirmed,262.68246953988273,9.562330176498948,-64.19976638891109,0.567548516963611
Albania,#Global,deaths,11.016396911906702,0.6103590293497696,-72.50586086098279,1.1166991438511178
Albania,#Global,recovered,175.39143746690087,7.617591513731393,-67.2799576080663,0.7473845645903099
Algeria,#Global,confirmed,3183.0096615893817,202.33639919292034,-93.28984999485692,2.191786736208781
Algeria,#Global,deaths,205.1313799157902,9.245919047243415,-119.49811868161288,2.648734633806086
Algeria,#Global,recovered,2139.2007207821553,148.95366259726967,-92.18021630253635,2.3398980731044565
Andorra,#Global,confirmed,33.51325250480071,3.85697854843983,-58.26595400119891,1.4637323867021883
Andorra,#Global,deaths,16.819505171145156,0.9882521967927604,-190.8684781700088,9.556311437855594
Andorra,#Global,recovered,33.582093386040206,4.187967366853753,-62.756201409230556,1.8536283215893234
Angola,#Global,confirmed,12.104489109789725,0.40335276691204625,-41.80711492181025,0.21224814236358208
Angola,#Global,deaths,1.878099483659521,0.11651611013532269,-56.10074494187199,0.7287508059360425
Angola,#Global,recovered,2.3851835011246774,0.1640658645896962,-37.48340669500429,0.34966559841086714
Antigua and Barbuda,#Global,confirmed,11.984086703500324,0.6939521982990132,-115.66029671207515,3.1709321705885736
Antigua and Barbuda,#Global,deaths,1.1249153100915514,0.07644570350511284,-236.20232761927377,17.56135909325919
Antigua and Barbuda,#Global,recovered,7.285890370713439,0.5133198562591803,-99.02336194573847,2.760696427170136
Argentina,#Global,confirmed,6754.371828700647,412.87700153037366,-54.70760763515866,0.6813543578485903
Argentina,#Global,deaths,86.50011125829768,5.868942817878368,-47.985797269080436,0.5753532733923427
Argentina,#Global,recovered,3027.2140127353723,233.09705652934596,-48.87415307015094,0.6783596849812179
Armenia,#Global,confirmed,2647.668233216481,177.1942018541281,-81.2671818373436,1.7184703928036136
Armenia,#Global,deaths,65.08827330868037,4.491524643327069,-91.9472339195789,2.306414157988021
Armenia,#Global,recovered,2279.4119621568993,168.0297419685435,-85.96075904069806,2.133576021081002
Australia (total),#Global,confirmed,2813.7952386624274,170.19394226931635,-115.4366946297682,3.298314446281569
Australia (total),#Global,deaths,28.14292683095217,2.782741767002645,-78.16853940052268,2.337292673375143
Australia (total),#Global,recovered,1752.772327239962,108.62490605998933,-100.54631608340033,2.509422916724337
Austria,#Global,confirmed,313.4051687627542,52.999119405134216,-48.74462862921701,1.481800674744145
Austria,#Global,deaths,201.0475070694418,11.608415271410223,-164.01070716991086,6.748463796772642
Austria,#Global,recovered,1311.7140758447588,118.92483874341846,-72.42575400629005,1.8233053617265071
Azerbaijan,#Global,confirmed,2744.059534639422,189.8993777056695,-92.31834243439984,2.333041012331258
Azerbaijan,#Global,deaths,39.33563740593869,2.926286474298673,-93.41612764299977,2.5725196226827056
Azerbaijan,#Global,recovered,2195.560298564495,179.73869956775386,-90.39146575059488,2.638290175514776
Bahamas,#Global,confirmed,22.384622632639324,2.0127459840892765,-49.54163370700089,0.8146612247918633
Bahamas,#Global,deaths,0.7237617819490626,0.05715623945746864,-53.44982858903686,0.8383412109324363
Bahamas,#Global,recovered,2.796953153655079,0.27584821789085584,-38.51106242255556,0.5300827531493716
Bahrain,#Global,confirmed,4164.483887367267,236.6673809057169,-91.97620616442642,1.9007457526634013
Bahrain,#Global,deaths,11.641925510214701,0.7087464063123007,-83.62458063332102,1.6613819807183368
Bahrain,#Global,recovered,3166.298665561724,196.33433697555705,-85.72383000870944,1.7843421621519817
Bangladesh,#Global,confirmed,24516.103292129625,1763.7056421705054,-96.05147308799694,2.6406030234300397
Bangladesh,#Global,deaths,307.1770368379781,20.609810334604497,-91.81270175925751,2.2354915633741403
Bangladesh,#Global,recovered,9804.4896051968,734.2939494296567,-78.51221226491823,1.7871151380712966
Barbados,#Global,confirmed,27.312802832945113,1.0747531441364022,-128.19307277830032,2.69226381758386
Barbados,#Global,deaths,2.519706931173516,0.16826214523586294,-227.93042815848239,15.971414462545198
Barbados,#Global,recovered,16.886146546076564,0.7527208014525633,-108.086143189154,2.1089697612694356
Belarus,#Global,confirmed,11833.47356153385,739.5054515661707,-128.54857765643467,4.301402712454003
Belarus,#Global,deaths,70.02798334217866,3.649162117702674,-103.41185137308486,2.2414635681457082
Belarus,#Global,recovered,7870.141604991368,583.671176759441,-111.78812508113113,3.773143673651524
Belgium,#Global,confirmed,287.7362382683029,63.802471206541014,-39.48437735902966,1.2542373088012684
Belgium,#Global,deaths,3062.5651223630316,191.4602506974009,-193.520102678206,10.475794669901044
Belgium,#Global,recovered,4704.321163701607,265.6371481939472,-163.34727537622888,6.542797308676355
Belize,#Global,confirmed,4.83200119141426,0.4620135704482987,-42.70986636271446,0.6366629833818301
Belize,#Global,deaths,0.03531765075726973,0.002603171066003069,-38.22486196567178,0.39008846506177897
Belize,#Global,recovered,1.080992095854645,0.17616033803322945,-37.234359467196796,0.8172867911411351
Benin,#Global,confirmed,191.22054547943648,15.180854794405377,-101.9534433123381,3.3120443618460307
Benin,#Global,deaths,3.7500276669210577,0.3578444139015836,-108.14041289489758,4.519632123786451
Benin,#Global,recovered,89.49837331728554,8.18305968913372,-83.15928939955815,2.4661768520593847
Bhutan,#Global,confirmed,9.404077589509413,0.5442262268936437,-76.649314837626,1.3123034837988308
Bhutan,#Global,deaths,0.0,,-42.142857142857146,
Bhutan,#Global,recovered,4.167627728345239,0.23233727735703089,-64.42010133669133,0.8753859320429848
Bolivia,#Global,confirmed,7259.95802161991,634.7038495386131,-90.185640113758,2.803491982797358
Bolivia,#Global,deaths,230.17689862941776,20.655461787929045,-75.21381229817526,1.9547710994119427
Bolivia,#Global,recovered,1709.5747989042084,172.09239685839157,-66.11461994551406,1.6694717092160216
Bosnia and Herzegovina,#Global,confirmed,361.08403798259064,20.683799008963383,-57.54610319373371,0.7097158816300592
Bosnia and Herzegovina,#Global,deaths,21.386284766061536,0.8013332501674072,-68.95210453150695,0.6791177545098758
Bosnia and Herzegovina,#Global,recovered,341.3337646629122,20.05672468250937,-63.25789822375382,0.8879607755090086
Botswana,#Global,confirmed,8.456851515938856,0.5833142961359484,-42.54759749528552,0.455684213300959
Botswana,#Global,deaths,0.06707868904998511,0.007315370489969331,-47.89429214988351,0.9211435563705178
Botswana,#Global,recovered,0.0004255630905933007,0.00022653999414321168,-17.739409048783717,0.5862192627922871
Brazil,#Global,confirmed,243199.68431145092,16982.24829316156,-87.3428525689638,2.091057584663674
Brazil,#Global,deaths,10635.116725835744,684.2758866652159,-99.61985596558269,2.5539189769158397
Brazil,#Global,recovered,155416.5754724856,12067.12046422672,-79.32793996885245,1.893820605230804
Brunei,#Global,confirmed,67.25591484381575,3.518446961564444,-295.2204049370227,21.916442254619557
Brunei,#Global,deaths,0.7196231078491869,0.04723505029893397,-171.17748012509276,8.422463837209346
Brunei,#Global,recovered,52.58844828951097,3.1877047633697893,-235.7402449381993,15.607468452915219
Bulgaria,#Global,confirmed,72.26937965249682,11.480035130806645,-42.88930484729743,1.0671605402037005
Bulgaria,#Global,deaths,21.582424765601044,1.0312462407383054,-68.48881181393433,0.8537583048077655
Bulgaria,#Global,recovered,370.388402207895,22.653414259069294,-69.37514992310122,1.1228894292185811
Burkina Faso,#Global,confirmed,206.41855504312423,7.721977110681498,-112.05075878428329,1.9129232448103823
Burkina Faso,#Global,deaths,17.881032652590825,1.0198637205392325,-198.45264704179468,10.098321301485788
Burkina Faso,#Global,recovered,145.34004792259847,7.460977885145947,-106.71377228822998,2.36274263152173
Burma,#Global,confirmed,0.9939915443641284,0.18832850235019838,-26.17211351156882,0.46080628633390663
Burma,#Global,deaths,0.019434448304321426,0.004541767755461526,-25.740680763681596,0.5494865205271566
Burma,#Global,recovered,0.008152548311901583,0.0015698609379120063,-18.687479349000302,0.23577729805954556
Burundi,#Global,confirmed,33.89401207670508,2.703229403830726,-95.26820592922883,2.876509840482665
Burundi,#Global,deaths,0.3622705014922863,0.026018982727874975,-229.03178008620742,17.358260538098026
Burundi,#Global,recovered,22.002022263908945,1.8034678899434424,-86.26829942250336,2.390853999951063
Cabo Verde,#Global,confirmed,129.9015266582255,5.675061439704062,-66.66281821886207,0.7373937096299048
Cabo Verde,#Global,deaths,1.17218648772914,0.05437619723093642,-64.09193944350373,0.7206543067126784
